percent,reads,name
19.65,130334,Parabacteroides
16.53,109620,Phocaeicola
13.31,88254,Bacteroides
11.19,74214,Mediterraneibacter
11.11,73698,Anaerostipes
7.52,49891,Odoribacter
6.64,44035,Eubacterium
3.92,26004,Xanthomonas
2.54,16842,Blautia
1.53,10171,Pseudomonas
1.12,7452,Ruminococcus
1.03,6799,Coprococcus
0.45,2970,Roseburia
0.41,2730,Bifidobacterium
0.36,2378,Lachnoclostridium
0.22,1465,Collinsella
0.19,1278,Eggerthella
0.17,1118,Rosenblumvirus
0.13,871,Anaerobutyricum
0.11,747,Butyrivibrio
0.1,696,Homo
0.09,571,Lacrimispora
0.09,592,Bacillus
0.09,578,Clostridium
0.08,561,Anaerocolumna
0.07,472,Lachnospira
0.06,408,Paenibacillus
0.05,306,Amedibacterium
0.05,319,Massilistercora
0.04,244,Moraxella
0.04,238,Faecalibacillus
0.03,170,Enterocloster
0.03,207,Faecalitalea
0.03,195,Enterococcus
0.03,197,Exiguobacterium
0.03,222,Faecalibacterium
0.03,173,Streptococcus
0.02,116,Porphyromonas
0.02,121,Chryseobacterium
0.02,102,Alteromonas
0.02,111,Lactobacillus
0.02,143,Enterobacter
0.02,108,Brachyspira
0.02,104,Tepidanaerobacter
0.02,100,Hungatella
0.02,151,Alistipes
0.02,143,Butyricimonas
0.02,126,Coprobacter
0.02,132,Methanosarcina
0.02,110,Flavobacterium
0.02,108,Muribaculum
0.02,161,Pseudobutyrivibrio
0.01,36,Hyphomicrobium
0.01,45,Acinetobacter
0.01,52,Keratinibaculum
0.01,80,Tissierella
0.01,65,Paraburkholderia
0.01,55,Yersinia
0.01,54,Megamonas
0.01,57,Succinivibrio
0.01,81,Mycoplasma
0.01,56,Thioalkalivibrio
0.01,61,Lactococcus
0.01,40,Erysipelatoclostridium
0.01,47,Veillonella
0.01,55,Helicobacter
0.01,42,Paraprevotella
0.01,86,Streptomyces
0.01,41,Sphingopyxis
0.01,89,Arcanobacterium
0.01,34,Tatlockia
0.01,42,Pseudonocardia
0.01,37,Dehalococcoides
0.01,82,Rickettsia
0.01,50,Nitrosospira
0.01,97,Aromatoleum
0.01,57,Hydrogenophaga
0.01,74,Prevotella
0.01,93,Nostoc
0.01,44,Bulleidia
0.01,49,Aliarcobacter
0.01,74,Methanobrevibacter
0.01,75,Ruthenibacterium
0.01,65,Acetivibrio
0.01,47,Acetobacterium
0.01,88,Lachnoanaerobaculum
0.01,98,Paludibacter
0.01,42,Petrimonas
0.01,42,Tenacibaculum
0.01,38,Niabella
0.01,37,Tepiditoga
0.01,51,Chitinophaga
0.01,68,Algoriphagus
0.01,93,Rhodocytophaga
0.01,38,Pedobacter
0.01,48,Sphingobacterium
0.01,85,Mucilaginibacter
0.01,53,Ornithobacterium
0.01,57,Rosistilla
0.01,69,Fusobacterium
0.01,36,Geosporobacter
0.01,35,Treponema
0.01,88,Ligilactobacillus
0.01,33,Listeria
0.01,34,Rummeliibacillus
0.01,65,Sporosarcina
0.01,82,Vibrio
0.01,48,Anoxybacillus
0.01,86,Cytobacillus
0.01,91,Koleobacter
0.01,53,Pseudothermotoga
0.01,34,Clostridioides
0.01,97,Peptacetobacter
0.01,45,Pseudoalteromonas
0.0,16,Sandaracinobacter
0.0,21,Natronomonas
0.0,24,Syntrophotalea
0.0,0,Pasteurella
0.0,20,Sediminispirochaeta
0.0,0,Afipia
0.0,0,Aeromonas
0.0,0,Rhizobium
0.0,15,Geobacter
0.0,16,Polaribacter
0.0,0,Proteus
0.0,18,Secundilactobacillus
0.0,24,Myroides
0.0,0,Duncaniella
0.0,25,Herbinix
0.0,19,Anaerotignum
0.0,28,Fastidiosipila
0.0,26,Ruminiclostridium
0.0,14,Oscillibacter
0.0,25,Paeniclostridium
0.0,16,Filifactor
0.0,30,Halocella
0.0,27,Thermoanaerobacterium
0.0,29,Lentilactobacillus
0.0,0,Tannerella
0.0,14,Lacticaseibacillus
0.0,0,Klebsiella
0.0,15,Abiotrophia
0.0,15,Aureitalea
0.0,15,Intestinibaculum
0.0,19,Selenomonas
0.0,22,Kitasatospora
0.0,19,Gordonia
0.0,15,Corynebacterium
0.0,19,Catenulispora
0.0,11,Microbacterium
0.0,21,Olsenella
0.0,0,Adlercreutzia
0.0,25,Gloeobacter
0.0,12,Thermosynechococcus
0.0,27,Paucilactobacillus
