accession_id,assembly,level,biosample,strain,taxonomy,taxid,coverage,platform,total-length,spanned-gaps,unspanned-gaps,region-count,scaffold-count,scaffold-N50,scaffold-L50,scaffold-N75,scaffold-N90,contig-count,contig-N50,contig-L50,total-gap-length,molecule-count,top-level-count,component-count
GCA_003433745.1,Scaffold,QVFJ00000000,SAMN09734760,AM09-45,Absiella sp. AM09-45,2291993,100x,Illumina Hiseq,4247198,40,0,0,96,112334,13,62267,29265,136,104932,14,1088,0,96,96
GCA_003433845.1,Scaffold,QVFI00000000,SAMN09734761,AM09-50,Absiella sp. AM09-50,2291994,100x,Illumina Hiseq,4250141,18,0,0,80,125525,11,68324,31411,98,115594,12,468,0,80,80
GCA_003433755.1,Scaffold,QVFH00000000,SAMN09734767,AM10-20,Absiella sp. AM10-20,2291995,100x,Illumina Hiseq,4368209,41,0,0,107,151856,9,80519,26124,148,139315,9,579,0,107,107
GCA_003433695.1,Scaffold,QVFG00000000,SAMN09734918,AM22-9,Absiella sp. AM22-9,2291996,100x,Illumina Hiseq,4345180,33,0,0,81,225742,6,78128,31291,114,140366,9,697,0,81,81
GCA_003480975.1,Scaffold,QUJU00000000,SAMN09736350,AM27-20,Absiella sp. AM27-20,2292277,100x,Illumina Hiseq,4739334,60,0,0,135,95695,16,63674,27388,195,92774,19,1116,0,135,135
GCA_003434225.1,Scaffold,QVFL00000000,SAMN09736395,AM29-15,Absiella sp. AM29-15,2292278,100x,Illumina Hiseq,4216396,18,0,0,58,165376,9,120653,80078,76,148863,9,180,0,58,58
GCA_003434045.1,Contig,QVFK00000000,SAMN09736643,AM54-8XD,Absiella sp. AM54-8XD,2292279,100x,IonProton,4476074,0,0,0,,,,,,247,50999,32,0,0,247,247
GCA_003472805.1,Scaffold,QRMX00000000,SAMN09734736,AM05-11,Acidaminococcus sp. AM05-11,2291997,100x,Illumina Hiseq,2599783,16,0,0,75,95595,8,33168,17721,91,91754,9,160,0,75,75
GCA_003603525.1,Scaffold,QTNG00000000,SAMN09736451,AM33-14BH,Acidaminococcus sp. AM33-14BH,2292909,100x,Illumina Hiseq,2245155,8,0,0,27,141463,5,105969,84620,35,141463,5,137,0,27,27
GCA_003434755.1,Contig,QVFE00000000,SAMN09736728,OF09-27,Agathobaculum butyriciproducens,1628085,100x,IonProton,3369078,0,0,0,,,,,,97,81694,14,0,0,97,97
GCA_003434765.1,Scaffold,QVFF00000000,SAMN09736726,OF09-22XD,Agathobaculum butyriciproducens,1628085,100x,IonProton,3369481,1,0,0,94,87248,13,57665,20835,95,87248,13,100,0,94,94
GCA_003460105.1,Scaffold,QRXW00000000,SAMN09734325,AF17-14,Alistipes indistinctus,626932,100x,Illumina Hiseq,2934025,7,0,0,27,461085,2,292319,113061,34,344497,3,245,0,27,27
GCA_003461645.1,Scaffold,QTXM00000000,SAMN09734250,AF14-19,Alistipes sp. AF14-19,2292910,100x,Illumina Hiseq,3668313,4,0,0,58,170463,7,90666,40657,62,170463,7,40,0,58,58
GCA_003479305.1,Scaffold,QUGX00000000,SAMN09734326,AF17-16,Alistipes sp. AF17-16,2292190,100x,Illumina Hiseq,3119159,9,0,0,31,356737,3,130738,100304,40,304420,5,90,0,31,31
GCA_003477565.1,Scaffold,QUDJ00000000,SAMN09734729,AF48-12,Alistipes sp. AF48-12,2291998,100x,IonProton,3164445,3,0,0,58,136880,9,94207,39348,61,136880,9,792,0,58,58
GCA_003435745.1,Scaffold,QTUQ00000000,SAMN09734836,AM16-43,Alistipes sp. AM16-43,2292911,100x,Illumina Hiseq,3366396,19,0,0,26,619168,3,295733,75958,45,221977,6,296,0,26,26
GCA_003474925.1,Scaffold,QRPK00000000,SAMN09734630,AF35-6BH,Amedibacillus dolichus,31971,100x,IonProton,2190049,1,0,0,189,27598,22,14347,5710,190,27598,22,100,0,189,189
GCA_003473385.1,Contig,QRNJ00000000,SAMN09734715,AF45-14BH,Anaerobutyricum hallii,39488,100x,IonProton,3779521,0,0,0,,,,,,200,43116,31,0,0,200,200
GCA_003475545.1,Scaffold,QRQO00000000,SAMN09734576,AF31-17AC,Anaerobutyricum hallii,39488,100x,Illumina Hiseq,3800170,76,0,0,133,60979,21,26245,15507,209,40679,28,1230,0,133,133
GCA_003468475.1,Scaffold,QSID00000000,SAMN09736467,AM34-3LB,Anaerobutyricum hallii,39488,100x,Illumina Hiseq,3404640,9,0,0,34,169124,8,103175,59962,43,169124,8,90,0,34,34
GCA_003466615.1,Contig,QSEP00000000,SAMN09736606,AM48-23BH,Anaerobutyricum hallii,39488,100x,IonProton,3420935,0,0,0,,,,,,288,22527,40,0,0,288,288
GCA_003466185.1,Contig,QSOE00000000,SAMN09737025,TM10-1AC,Anaerobutyricum hallii,39488,100x,IonProton,3602314,0,0,0,,,,,,375,21570,49,0,0,375,375
GCA_003433955.1,Scaffold,QVEU00000000,SAMN09736673,OF01-3,Anaerococcus nagyae,1755241,100x,Illumina Hiseq,1825047,2,0,0,16,316868,3,106329,65655,18,314939,3,20,0,16,16
GCA_003435385.1,Scaffold,QUSM00000000,SAMN09736321,AM25-6,Anaerofustis stercorihominis,214853,100x,Illumina Hiseq,2409730,5,0,0,11,653021,2,147977,130281,16,259655,3,50,0,11,11
GCA_003461725.1,Scaffold,QTXQ00000000,SAMN09734181,AF04-45,Anaerostipes sp. AF04-45,2292912,100x,Illumina Hiseq,3383740,7,0,0,26,354384,4,188009,65268,33,354384,4,72,0,26,26
GCA_003435515.1,Scaffold,QVME00000000,SAMN09736874,TF05-12AC,Anaerotruncus colihominis,169435,100x,Illumina Hiseq,3617395,54,0,0,21,373992,3,144382,95961,75,87182,14,1045,0,21,21
GCA_003465835.1,Scaffold,QSBX00000000,SAMN09734163,AF02-27,Anaerotruncus sp. AF02-27,2292191,100x,Illumina Hiseq,3740042,51,0,0,69,141322,9,65185,32302,120,53242,21,1513,0,69,69
