chr,pos,enzyme
CP000413.1,4991,1
CP000413.1,5807,1
CP000413.1,6840,1
CP000413.1,12376,1
CP000413.1,12636,1
CP000413.1,12798,1
CP000413.1,21233,1
CP000413.1,24586,1
CP000413.1,28908,1
CP000413.1,33000,1
CP000413.1,42511,1
CP000413.1,59877,1
CP000413.1,65364,1
CP000413.1,73502,1
CP000413.1,77368,1
CP000413.1,80552,1
CP000413.1,83156,1
CP000413.1,83741,1
CP000413.1,85722,1
CP000413.1,92985,1
CP000413.1,94641,1
CP000413.1,95064,1
CP000413.1,95476,1
CP000413.1,98095,1
CP000413.1,102181,1
CP000413.1,113415,1
CP000413.1,127171,1
CP000413.1,128971,1
CP000413.1,128995,1
CP000413.1,141295,1
CP000413.1,147035,1
CP000413.1,147262,1
CP000413.1,152594,1
CP000413.1,162740,1
CP000413.1,163968,1
CP000413.1,169481,1
CP000413.1,171833,1
CP000413.1,174419,1
CP000413.1,180384,1
CP000413.1,180880,1
CP000413.1,181379,1
CP000413.1,183188,1
CP000413.1,183524,1
CP000413.1,186159,1
CP000413.1,191578,1
CP000413.1,197991,1
CP000413.1,198382,1
CP000413.1,206134,1
CP000413.1,208259,1
CP000413.1,211045,1
CP000413.1,212679,1
CP000413.1,212934,1
CP000413.1,213252,1
CP000413.1,213859,1
CP000413.1,215674,1
CP000413.1,215849,1
CP000413.1,216350,1
CP000413.1,222028,1
CP000413.1,223526,1
CP000413.1,223973,1
CP000413.1,225066,1
CP000413.1,226028,1
CP000413.1,226502,1
CP000413.1,227667,1
CP000413.1,234506,1
CP000413.1,236220,1
CP000413.1,236974,1
CP000413.1,244560,1
CP000413.1,245739,1
CP000413.1,254605,1
CP000413.1,260508,1
CP000413.1,262803,1
CP000413.1,263495,1
CP000413.1,265861,1
CP000413.1,267244,1
CP000413.1,267676,1
CP000413.1,270273,1
CP000413.1,273082,1
CP000413.1,282348,1
CP000413.1,289641,1
CP000413.1,291022,1
CP000413.1,297355,1
CP000413.1,298967,1
CP000413.1,303518,1
CP000413.1,303611,1
CP000413.1,310376,1
CP000413.1,310419,1
CP000413.1,311836,1
CP000413.1,316698,1
CP000413.1,317885,1
CP000413.1,318205,1
CP000413.1,322901,1
CP000413.1,324852,1
CP000413.1,325804,1
CP000413.1,330686,1
CP000413.1,331433,1
CP000413.1,332243,1
CP000413.1,337189,1
CP000413.1,340846,1
CP000413.1,343938,1
CP000413.1,347648,1
CP000413.1,349088,1
CP000413.1,351782,1
CP000413.1,355089,1
CP000413.1,362812,1
CP000413.1,367897,1
CP000413.1,368020,1
CP000413.1,369349,1
CP000413.1,369582,1
CP000413.1,379611,1
CP000413.1,380157,1
CP000413.1,383564,1
CP000413.1,389386,1
CP000413.1,392838,1
CP000413.1,394176,1
CP000413.1,396529,1
CP000413.1,397376,1
CP000413.1,401122,1
CP000413.1,409075,1
CP000413.1,409388,1
CP000413.1,411077,1
CP000413.1,412282,1
CP000413.1,415601,1
CP000413.1,416698,1
CP000413.1,417536,1
CP000413.1,427335,1
CP000413.1,438165,1
CP000413.1,438233,1
CP000413.1,438462,1
CP000413.1,450954,1
CP000413.1,454749,1
CP000413.1,459477,1
CP000413.1,459998,1
CP000413.1,466945,1
CP000413.1,485995,1
CP000413.1,491549,1
CP000413.1,494040,1
CP000413.1,495509,1
CP000413.1,498263,1
CP000413.1,500764,1
CP000413.1,503675,1
CP000413.1,507271,1
CP000413.1,509642,1
CP000413.1,511393,1
CP000413.1,512331,1
CP000413.1,513785,1
CP000413.1,514902,1
CP000413.1,518853,1
CP000413.1,522191,1
CP000413.1,527460,1
CP000413.1,530102,1
CP000413.1,538627,1
CP000413.1,539641,1
CP000413.1,540557,1
CP000413.1,544798,1
CP000413.1,547732,1
CP000413.1,547947,1
CP000413.1,548357,1
CP000413.1,550203,1
CP000413.1,550872,1
CP000413.1,554330,1
CP000413.1,558815,1
CP000413.1,559383,1
CP000413.1,560679,1
CP000413.1,563461,1
CP000413.1,564871,1
CP000413.1,565250,1
CP000413.1,572715,1
CP000413.1,588879,1
CP000413.1,590342,1
CP000413.1,591668,1
CP000413.1,595928,1
CP000413.1,596257,1
CP000413.1,599741,1
CP000413.1,602844,1
CP000413.1,614057,1
CP000413.1,616926,1
CP000413.1,619992,1
CP000413.1,622780,1
CP000413.1,627864,1
CP000413.1,636847,1
CP000413.1,640297,1
CP000413.1,642930,1
CP000413.1,654143,1
CP000413.1,657012,1
CP000413.1,660078,1
CP000413.1,662866,1
CP000413.1,667950,1
CP000413.1,676933,1
CP000413.1,680383,1
CP000413.1,681985,1
CP000413.1,684033,1
CP000413.1,686640,1
CP000413.1,688440,1
CP000413.1,689190,1
CP000413.1,691080,1
CP000413.1,691389,1
CP000413.1,691904,1
CP000413.1,693940,1
CP000413.1,701298,1
CP000413.1,702692,1
CP000413.1,710440,1
CP000413.1,713381,1
CP000413.1,716079,1
CP000413.1,716971,1
CP000413.1,718581,1
CP000413.1,720819,1
CP000413.1,721000,1
CP000413.1,727747,1
CP000413.1,731950,1
CP000413.1,736135,1
CP000413.1,737173,1
CP000413.1,737430,1
CP000413.1,740076,1
CP000413.1,740784,1
CP000413.1,742917,1
CP000413.1,747747,1
CP000413.1,747834,1
CP000413.1,752854,1
CP000413.1,753450,1
CP000413.1,753825,1
CP000413.1,754081,1
CP000413.1,754905,1
CP000413.1,759146,1
CP000413.1,766185,1
CP000413.1,768795,1
CP000413.1,775577,1
CP000413.1,781578,1
CP000413.1,782844,1
CP000413.1,787807,1
CP000413.1,789457,1
CP000413.1,803313,1
CP000413.1,812614,1
CP000413.1,818391,1
CP000413.1,821593,1
CP000413.1,822335,1
CP000413.1,822353,1
CP000413.1,825185,1
CP000413.1,825527,1
CP000413.1,828417,1
CP000413.1,835858,1
CP000413.1,836087,1
CP000413.1,837477,1
CP000413.1,840461,1
CP000413.1,840503,1
CP000413.1,852188,1
CP000413.1,862305,1
CP000413.1,863321,1
CP000413.1,865149,1
CP000413.1,873546,1
CP000413.1,873658,1
CP000413.1,879447,1
CP000413.1,882844,1
CP000413.1,883247,1
CP000413.1,883352,1
CP000413.1,887293,1
CP000413.1,894963,1
CP000413.1,896134,1
CP000413.1,901153,1
CP000413.1,901245,1
CP000413.1,907123,1
CP000413.1,907361,1
CP000413.1,911510,1
CP000413.1,915224,1
CP000413.1,916449,1
CP000413.1,922865,1
CP000413.1,925065,1
CP000413.1,929711,1
CP000413.1,932281,1
CP000413.1,947526,1
CP000413.1,948494,1
CP000413.1,953374,1
CP000413.1,958636,1
CP000413.1,960036,1
CP000413.1,964060,1
CP000413.1,965707,1
CP000413.1,966287,1
CP000413.1,969619,1
CP000413.1,969769,1
CP000413.1,970834,1
CP000413.1,981579,1
CP000413.1,987214,1
CP000413.1,987659,1
CP000413.1,991653,1
CP000413.1,995024,1
CP000413.1,1007589,1
CP000413.1,1008018,1
CP000413.1,1014158,1
CP000413.1,1018206,1
CP000413.1,1023646,1
CP000413.1,1027960,1
CP000413.1,1035119,1
CP000413.1,1039466,1
CP000413.1,1048753,1
CP000413.1,1048780,1
CP000413.1,1063695,1
CP000413.1,1070038,1
CP000413.1,1074911,1
CP000413.1,1075361,1
CP000413.1,1077886,1
CP000413.1,1078466,1
CP000413.1,1083872,1
CP000413.1,1085859,1
CP000413.1,1088962,1
CP000413.1,1092941,1
CP000413.1,1093769,1
CP000413.1,1097545,1
CP000413.1,1100687,1
CP000413.1,1103110,1
CP000413.1,1106175,1
CP000413.1,1111970,1
CP000413.1,1118142,1
CP000413.1,1119714,1
CP000413.1,1125416,1
CP000413.1,1127776,1
CP000413.1,1130836,1
CP000413.1,1139981,1
CP000413.1,1146620,1
CP000413.1,1147523,1
CP000413.1,1148267,1
CP000413.1,1159482,1
CP000413.1,1162979,1
CP000413.1,1166142,1
CP000413.1,1168797,1
CP000413.1,1177522,1
CP000413.1,1180219,1
CP000413.1,1180981,1
CP000413.1,1181390,1
CP000413.1,1181738,1
CP000413.1,1181780,1
CP000413.1,1195415,1
CP000413.1,1202241,1
CP000413.1,1217650,1
CP000413.1,1219308,1
CP000413.1,1223876,1
CP000413.1,1227086,1
CP000413.1,1240778,1
CP000413.1,1242979,1
CP000413.1,1249465,1
CP000413.1,1250068,1
CP000413.1,1253466,1
CP000413.1,1258795,1
CP000413.1,1259567,1
CP000413.1,1260449,1
CP000413.1,1266577,1
CP000413.1,1275804,1
CP000413.1,1277030,1
CP000413.1,1283836,1
CP000413.1,1284609,1
CP000413.1,1287533,1
CP000413.1,1293143,1
CP000413.1,1296260,1
CP000413.1,1296783,1
CP000413.1,1297032,1
CP000413.1,1298710,1
CP000413.1,1300160,1
CP000413.1,1305025,1
CP000413.1,1306931,1
CP000413.1,1310427,1
CP000413.1,1312207,1
CP000413.1,1314387,1
CP000413.1,1318043,1
CP000413.1,1325618,1
CP000413.1,1327467,1
CP000413.1,1331653,1
CP000413.1,1331827,1
CP000413.1,1333962,1
CP000413.1,1339400,1
CP000413.1,1341360,1
CP000413.1,1346238,1
CP000413.1,1348270,1
CP000413.1,1350048,1
CP000413.1,1351697,1
CP000413.1,1352878,1
CP000413.1,1355004,1
CP000413.1,1357494,1
CP000413.1,1357508,1
CP000413.1,1361036,1
CP000413.1,1362505,1
CP000413.1,1369229,1
CP000413.1,1369895,1
CP000413.1,1372074,1
CP000413.1,1376061,1
CP000413.1,1376233,1
CP000413.1,1376623,1
CP000413.1,1385171,1
CP000413.1,1388064,1
CP000413.1,1391702,1
CP000413.1,1402355,1
CP000413.1,1412395,1
CP000413.1,1422728,1
CP000413.1,1427868,1
CP000413.1,1432764,1
CP000413.1,1436386,1
CP000413.1,1437714,1
CP000413.1,1450321,1
CP000413.1,1452089,1
CP000413.1,1456931,1
CP000413.1,1466188,1
CP000413.1,1470340,1
CP000413.1,1470804,1
CP000413.1,1471691,1
CP000413.1,1472324,1
CP000413.1,1477402,1
CP000413.1,1484044,1
CP000413.1,1484445,1
CP000413.1,1487497,1
CP000413.1,1497287,1
CP000413.1,1500602,1
CP000413.1,1504094,1
CP000413.1,1505544,1
CP000413.1,1509408,1
CP000413.1,1514913,1
CP000413.1,1516546,1
CP000413.1,1525120,1
CP000413.1,1526257,1
CP000413.1,1537176,1
CP000413.1,1538129,1
CP000413.1,1539876,1
CP000413.1,1540768,1
CP000413.1,1544756,1
CP000413.1,1546082,1
CP000413.1,1551311,1
CP000413.1,1570841,1
CP000413.1,1587557,1
CP000413.1,1594062,1
CP000413.1,1596903,1
CP000413.1,1597342,1
CP000413.1,1599418,1
CP000413.1,1599469,1
CP000413.1,1602207,1
CP000413.1,1605984,1
CP000413.1,1607568,1
CP000413.1,1608352,1
CP000413.1,1610457,1
CP000413.1,1618491,1
CP000413.1,1619751,1
CP000413.1,1636377,1
CP000413.1,1638136,1
CP000413.1,1639750,1
CP000413.1,1648376,1
CP000413.1,1655898,1
CP000413.1,1656540,1
CP000413.1,1659263,1
CP000413.1,1659858,1
CP000413.1,1669293,1
CP000413.1,1669733,1
CP000413.1,1672899,1
CP000413.1,1673565,1
CP000413.1,1674120,1
CP000413.1,1674499,1
CP000413.1,1675097,1
CP000413.1,1698299,1
CP000413.1,1704799,1
CP000413.1,1706083,1
CP000413.1,1707985,1
CP000413.1,1711432,1
CP000413.1,1721235,1
CP000413.1,1723327,1
CP000413.1,1723807,1
CP000413.1,1725417,1
CP000413.1,1727334,1
CP000413.1,1735679,1
CP000413.1,1735961,1
CP000413.1,1737190,1
CP000413.1,1742378,1
CP000413.1,1749215,1
CP000413.1,1753178,1
CP000413.1,1759704,1
CP000413.1,1764646,1
CP000413.1,1765706,1
CP000413.1,1772834,1
CP000413.1,1776241,1
CP000413.1,1776442,1
CP000413.1,1778754,1
CP000413.1,1779907,1
CP000413.1,1779951,1
CP000413.1,1780803,1
CP000413.1,1781764,1
CP000413.1,1781775,1
CP000413.1,1796128,1
CP000413.1,1799466,1
CP000413.1,1803674,1
CP000413.1,1810548,1
CP000413.1,1816893,1
CP000413.1,1817032,1
CP000413.1,1819252,1
CP000413.1,1829512,1
CP000413.1,1852986,1
CP000413.1,1858666,1
CP000413.1,1860015,1
CP000413.1,1871894,1
CP000413.1,1876534,1
CP000413.1,1892107,1
CP000413.1,65,2
CP000413.1,94,2
CP000413.1,213,2
CP000413.1,237,2
CP000413.1,423,2
CP000413.1,482,2
CP000413.1,629,2
CP000413.1,720,2
CP000413.1,1110,2
CP000413.1,1149,2
CP000413.1,1340,2
CP000413.1,1433,2
CP000413.1,1452,2
CP000413.1,1472,2
CP000413.1,1499,2
CP000413.1,1539,2
CP000413.1,1622,2
CP000413.1,1634,2
CP000413.1,1693,2
CP000413.1,1767,2
CP000413.1,1783,2
CP000413.1,1809,2
CP000413.1,1924,2
CP000413.1,2071,2
CP000413.1,2104,2
CP000413.1,2151,2
CP000413.1,2161,2
CP000413.1,2173,2
CP000413.1,2188,2
CP000413.1,2268,2
CP000413.1,2430,2
CP000413.1,2569,2
CP000413.1,2623,2
CP000413.1,2659,2
CP000413.1,2673,2
CP000413.1,2807,2
CP000413.1,2858,2
CP000413.1,2880,2
CP000413.1,2900,2
CP000413.1,2915,2
CP000413.1,2935,2
CP000413.1,3041,2
CP000413.1,3073,2
CP000413.1,3137,2
CP000413.1,3142,2
CP000413.1,3281,2
CP000413.1,3289,2
CP000413.1,3418,2
CP000413.1,3488,2
CP000413.1,3499,2
CP000413.1,3611,2
CP000413.1,3665,2
CP000413.1,3730,2
CP000413.1,3926,2
CP000413.1,4060,2
CP000413.1,4064,2
CP000413.1,4362,2
CP000413.1,4393,2
CP000413.1,4604,2
CP000413.1,4981,2
CP000413.1,5011,2
CP000413.1,5023,2
CP000413.1,5113,2
CP000413.1,5224,2
CP000413.1,5282,2
CP000413.1,5293,2
CP000413.1,5306,2
CP000413.1,5402,2
CP000413.1,5509,2
CP000413.1,5743,2
CP000413.1,5902,2
CP000413.1,6977,2
CP000413.1,7173,2
CP000413.1,7314,2
CP000413.1,7365,2
CP000413.1,7385,2
CP000413.1,7460,2
CP000413.1,7533,2
CP000413.1,7646,2
CP000413.1,7850,2
CP000413.1,7899,2
CP000413.1,7923,2
CP000413.1,8112,2
CP000413.1,8157,2
CP000413.1,8297,2
CP000413.1,8309,2
CP000413.1,8370,2
CP000413.1,8424,2
CP000413.1,8541,2
CP000413.1,8565,2
CP000413.1,8619,2
CP000413.1,8642,2
CP000413.1,8723,2
CP000413.1,8830,2
CP000413.1,8980,2
CP000413.1,9354,2
CP000413.1,9380,2
CP000413.1,9865,2
CP000413.1,9871,2
CP000413.1,10077,2
CP000413.1,10228,2
CP000413.1,10329,2
CP000413.1,10474,2
CP000413.1,10677,2
CP000413.1,10785,2
CP000413.1,10986,2
CP000413.1,11217,2
CP000413.1,11284,2
CP000413.1,11298,2
CP000413.1,11566,2
CP000413.1,11665,2
CP000413.1,11820,2
CP000413.1,11847,2
CP000413.1,11874,2
CP000413.1,11929,2
CP000413.1,11941,2
CP000413.1,11973,2
CP000413.1,12105,2
CP000413.1,12286,2
CP000413.1,12364,2
CP000413.1,12441,2
CP000413.1,12537,2
CP000413.1,12591,2
CP000413.1,12603,2
CP000413.1,12744,2
CP000413.1,12969,2
CP000413.1,13065,2
CP000413.1,13120,2
CP000413.1,13186,2
CP000413.1,13234,2
CP000413.1,13246,2
CP000413.1,13290,2
CP000413.1,13326,2
CP000413.1,13365,2
CP000413.1,13403,2
CP000413.1,13412,2
CP000413.1,13476,2
CP000413.1,13515,2
CP000413.1,13602,2
CP000413.1,13641,2
CP000413.1,13671,2
CP000413.1,13680,2
CP000413.1,13895,2
CP000413.1,13948,2
CP000413.1,14204,2
CP000413.1,14224,2
CP000413.1,14246,2
CP000413.1,14389,2
CP000413.1,14530,2
CP000413.1,14615,2
CP000413.1,14677,2
CP000413.1,14701,2
CP000413.1,14761,2
CP000413.1,15038,2
CP000413.1,15102,2
CP000413.1,15128,2
CP000413.1,15150,2
CP000413.1,15166,2
CP000413.1,15177,2
CP000413.1,15196,2
CP000413.1,15351,2
CP000413.1,15474,2
CP000413.1,15528,2
CP000413.1,15861,2
CP000413.1,15914,2
CP000413.1,15951,2
CP000413.1,15998,2
CP000413.1,16070,2
CP000413.1,16091,2
CP000413.1,16104,2
CP000413.1,16158,2
CP000413.1,16220,2
CP000413.1,16252,2
CP000413.1,16304,2
CP000413.1,16511,2
CP000413.1,16577,2
CP000413.1,16597,2
CP000413.1,16747,2
CP000413.1,17084,2
CP000413.1,17123,2
CP000413.1,17141,2
CP000413.1,17176,2
CP000413.1,17317,2
CP000413.1,17340,2
CP000413.1,17355,2
CP000413.1,17437,2
CP000413.1,17472,2
CP000413.1,17499,2
CP000413.1,17545,2
CP000413.1,17578,2
CP000413.1,17637,2
CP000413.1,17656,2
CP000413.1,17680,2
CP000413.1,17722,2
CP000413.1,17868,2
CP000413.1,17943,2
CP000413.1,18327,2
CP000413.1,18351,2
CP000413.1,18387,2
CP000413.1,18456,2
CP000413.1,18634,2
CP000413.1,18814,2
CP000413.1,18891,2
CP000413.1,18903,2
CP000413.1,18979,2
CP000413.1,19131,2
CP000413.1,19149,2
CP000413.1,19167,2
CP000413.1,19312,2
CP000413.1,19326,2
CP000413.1,19473,2
CP000413.1,19506,2
CP000413.1,19577,2
CP000413.1,19661,2
CP000413.1,19697,2
CP000413.1,19722,2
CP000413.1,19787,2
CP000413.1,19814,2
CP000413.1,19947,2
CP000413.1,20244,2
CP000413.1,20259,2
CP000413.1,20320,2
CP000413.1,20333,2
CP000413.1,20368,2
CP000413.1,20484,2
CP000413.1,20488,2
CP000413.1,20510,2
CP000413.1,20576,2
CP000413.1,20689,2
CP000413.1,20713,2
CP000413.1,20722,2
CP000413.1,20755,2
CP000413.1,20773,2
CP000413.1,20786,2
CP000413.1,20867,2
CP000413.1,20942,2
CP000413.1,21034,2
CP000413.1,21121,2
CP000413.1,21214,2
CP000413.1,21259,2
CP000413.1,21265,2
CP000413.1,21278,2
CP000413.1,21289,2
CP000413.1,21367,2
CP000413.1,21457,2
CP000413.1,21491,2
CP000413.1,21495,2
CP000413.1,21597,2
CP000413.1,21650,2
CP000413.1,21700,2
CP000413.1,21766,2
CP000413.1,21846,2
CP000413.1,21918,2
CP000413.1,21947,2
CP000413.1,22100,2
CP000413.1,22115,2
CP000413.1,22221,2
CP000413.1,22226,2
CP000413.1,22446,2
CP000413.1,22468,2
CP000413.1,22486,2
CP000413.1,22505,2
CP000413.1,22562,2
CP000413.1,22707,2
CP000413.1,22812,2
CP000413.1,23022,2
CP000413.1,23085,2
CP000413.1,23100,2
CP000413.1,23132,2
CP000413.1,23159,2
CP000413.1,23220,2
CP000413.1,23342,2
CP000413.1,23690,2
CP000413.1,23734,2
CP000413.1,23857,2
CP000413.1,23893,2
CP000413.1,23972,2
CP000413.1,23999,2
CP000413.1,24059,2
CP000413.1,24218,2
CP000413.1,24287,2
CP000413.1,24617,2
CP000413.1,24650,2
CP000413.1,24656,2
CP000413.1,24686,2
CP000413.1,24754,2
CP000413.1,24853,2
CP000413.1,24859,2
CP000413.1,24887,2
CP000413.1,24905,2
CP000413.1,24920,2
CP000413.1,24951,2
CP000413.1,24955,2
CP000413.1,25018,2
CP000413.1,25024,2
CP000413.1,25249,2
CP000413.1,25264,2
CP000413.1,25295,2
CP000413.1,25466,2
CP000413.1,25474,2
CP000413.1,25496,2
CP000413.1,25534,2
CP000413.1,25579,2
CP000413.1,25805,2
CP000413.1,25894,2
CP000413.1,25924,2
CP000413.1,25963,2
CP000413.1,26032,2
CP000413.1,26067,2
CP000413.1,26148,2
CP000413.1,26251,2
CP000413.1,26263,2
CP000413.1,26314,2
CP000413.1,26328,2
CP000413.1,26400,2
CP000413.1,26520,2
CP000413.1,26555,2
CP000413.1,26612,2
CP000413.1,26650,2
CP000413.1,26720,2
