chr,pos,enzyme
AE014133.2,1820,1
AE014133.2,4555,1
AE014133.2,16363,1
AE014133.2,17556,1
AE014133.2,32397,1
AE014133.2,35022,1
AE014133.2,51614,1
AE014133.2,52338,1
AE014133.2,52499,1
AE014133.2,57133,1
AE014133.2,57879,1
AE014133.2,58912,1
AE014133.2,65081,1
AE014133.2,69140,1
AE014133.2,81067,1
AE014133.2,83740,1
AE014133.2,86277,1
AE014133.2,91578,1
AE014133.2,95257,1
AE014133.2,96598,1
AE014133.2,98410,1
AE014133.2,101841,1
AE014133.2,102188,1
AE014133.2,103344,1
AE014133.2,108916,1
AE014133.2,116730,1
AE014133.2,121065,1
AE014133.2,122960,1
AE014133.2,125050,1
AE014133.2,125405,1
AE014133.2,126391,1
AE014133.2,128790,1
AE014133.2,137619,1
AE014133.2,140144,1
AE014133.2,146007,1
AE014133.2,165525,1
AE014133.2,166323,1
AE014133.2,175458,1
AE014133.2,177730,1
AE014133.2,181470,1
AE014133.2,184305,1
AE014133.2,186428,1
AE014133.2,200835,1
AE014133.2,214464,1
AE014133.2,222098,1
AE014133.2,225737,1
AE014133.2,230922,1
AE014133.2,233484,1
AE014133.2,236099,1
AE014133.2,245604,1
AE014133.2,246358,1
AE014133.2,248418,1
AE014133.2,250727,1
AE014133.2,253398,1
AE014133.2,255022,1
AE014133.2,258209,1
AE014133.2,258768,1
AE014133.2,261144,1
AE014133.2,265006,1
AE014133.2,268421,1
AE014133.2,282557,1
AE014133.2,283609,1
AE014133.2,290064,1
AE014133.2,290547,1
AE014133.2,292485,1
AE014133.2,300436,1
AE014133.2,300639,1
AE014133.2,302424,1
AE014133.2,303023,1
AE014133.2,308666,1
AE014133.2,312757,1
AE014133.2,324854,1
AE014133.2,331257,1
AE014133.2,335917,1
AE014133.2,336562,1
AE014133.2,348947,1
AE014133.2,354105,1
AE014133.2,354734,1
AE014133.2,357800,1
AE014133.2,360521,1
AE014133.2,363085,1
AE014133.2,373700,1
AE014133.2,374792,1
AE014133.2,376436,1
AE014133.2,377459,1
AE014133.2,391770,1
AE014133.2,401713,1
AE014133.2,408404,1
AE014133.2,410240,1
AE014133.2,410583,1
AE014133.2,413168,1
AE014133.2,418058,1
AE014133.2,418504,1
AE014133.2,420753,1
AE014133.2,427212,1
AE014133.2,439532,1
AE014133.2,440425,1
AE014133.2,441942,1
AE014133.2,448503,1
AE014133.2,448959,1
AE014133.2,459123,1
AE014133.2,460839,1
AE014133.2,461313,1
AE014133.2,468000,1
AE014133.2,477993,1
AE014133.2,486061,1
AE014133.2,505059,1
AE014133.2,506014,1
AE014133.2,507473,1
AE014133.2,509629,1
AE014133.2,514683,1
AE014133.2,514735,1
AE014133.2,515792,1
AE014133.2,518620,1
AE014133.2,519386,1
AE014133.2,519820,1
AE014133.2,524011,1
AE014133.2,532116,1
AE014133.2,532990,1
AE014133.2,533773,1
AE014133.2,534436,1
AE014133.2,545037,1
AE014133.2,563630,1
AE014133.2,565314,1
AE014133.2,571157,1
AE014133.2,571338,1
AE014133.2,580961,1
AE014133.2,593393,1
AE014133.2,593748,1
AE014133.2,605242,1
AE014133.2,607311,1
AE014133.2,608940,1
AE014133.2,609012,1
AE014133.2,610902,1
AE014133.2,615568,1
AE014133.2,623529,1
AE014133.2,624740,1
AE014133.2,625567,1
AE014133.2,629614,1
AE014133.2,632714,1
AE014133.2,636266,1
AE014133.2,637480,1
AE014133.2,642365,1
AE014133.2,645085,1
AE014133.2,647385,1
AE014133.2,649612,1
AE014133.2,649845,1
AE014133.2,654362,1
AE014133.2,656021,1
AE014133.2,660279,1
AE014133.2,661562,1
AE014133.2,662720,1
AE014133.2,674297,1
AE014133.2,676853,1
AE014133.2,680048,1
AE014133.2,683735,1
AE014133.2,687515,1
AE014133.2,694327,1
AE014133.2,698048,1
AE014133.2,698499,1
AE014133.2,701165,1
AE014133.2,702642,1
AE014133.2,706138,1
AE014133.2,712566,1
AE014133.2,714462,1
AE014133.2,720057,1
AE014133.2,722725,1
AE014133.2,723037,1
AE014133.2,725580,1
AE014133.2,726747,1
AE014133.2,726923,1
AE014133.2,734001,1
AE014133.2,735036,1
AE014133.2,736903,1
AE014133.2,737093,1
AE014133.2,744647,1
AE014133.2,744927,1
AE014133.2,745142,1
AE014133.2,753323,1
AE014133.2,754237,1
AE014133.2,763326,1
AE014133.2,763485,1
AE014133.2,766777,1
AE014133.2,766817,1
AE014133.2,770988,1
AE014133.2,771481,1
AE014133.2,776008,1
AE014133.2,776548,1
AE014133.2,792696,1
AE014133.2,799612,1
AE014133.2,799978,1
AE014133.2,809308,1
AE014133.2,812145,1
AE014133.2,814562,1
AE014133.2,815591,1
AE014133.2,818109,1
AE014133.2,825872,1
AE014133.2,826988,1
AE014133.2,831602,1
AE014133.2,832900,1
AE014133.2,835232,1
AE014133.2,837274,1
AE014133.2,848997,1
AE014133.2,849115,1
AE014133.2,849528,1
AE014133.2,851675,1
AE014133.2,852365,1
AE014133.2,854272,1
AE014133.2,855571,1
AE014133.2,860638,1
AE014133.2,869367,1
AE014133.2,869840,1
AE014133.2,870121,1
